x,y,z,value,field_name,learned_viscosity_param
0.0,0.0,0.022100586,0.022100586,v_velocity,0.05023981258273125
0.0,0.016949153,0.020024307,0.020024307,v_velocity,0.05023981258273125
0.0,0.033898305,0.01782078,0.01782078,v_velocity,0.05023981258273125
0.0,0.050847456,0.015570331,0.015570331,v_velocity,0.05023981258273125
0.0,0.06779661,0.013363641,0.013363641,v_velocity,0.05023981258273125
0.0,0.084745765,0.011295166,0.011295166,v_velocity,0.05023981258273125
0.0,0.10169491,0.009453539,0.009453539,v_velocity,0.05023981258273125
0.0,0.118644066,0.007911593,0.007911593,v_velocity,0.05023981258273125
0.0,0.13559322,0.0067178756,0.0067178756,v_velocity,0.05023981258273125
0.0,0.15254237,0.005893089,0.005893089,v_velocity,0.05023981258273125
0.0,0.16949153,0.005431328,0.005431328,v_velocity,0.05023981258273125
0.0,0.18644068,0.00530554,0.00530554,v_velocity,0.05023981258273125
0.0,0.20338982,0.0054733083,0.0054733083,v_velocity,0.05023981258273125
0.0,0.22033899,0.0058810785,0.0058810785,v_velocity,0.05023981258273125
0.0,0.23728813,0.006465841,0.006465841,v_velocity,0.05023981258273125
0.0,0.2542373,0.007156551,0.007156551,v_velocity,0.05023981258273125
0.0,0.27118644,0.007876631,0.007876631,v_velocity,0.05023981258273125
0.0,0.2881356,0.008548606,0.008548606,v_velocity,0.05023981258273125
0.0,0.30508474,0.0091006495,0.0091006495,v_velocity,0.05023981258273125
0.0,0.3220339,0.009472918,0.009472918,v_velocity,0.05023981258273125
0.0,0.33898306,0.009623479,0.009623479,v_velocity,0.05023981258273125
0.0,0.3559322,0.0095322095,0.0095322095,v_velocity,0.05023981258273125
0.0,0.37288135,0.009201929,0.009201929,v_velocity,0.05023981258273125
0.0,0.3898305,0.0086568035,0.0086568035,v_velocity,0.05023981258273125
0.0,0.40677965,0.007937852,0.007937852,v_velocity,0.05023981258273125
0.0,0.42372882,0.00709771,0.00709771,v_velocity,0.05023981258273125
0.0,0.44067797,0.006194014,0.006194014,v_velocity,0.05023981258273125
0.0,0.45762712,0.0052833483,0.0052833483,v_velocity,0.05023981258273125
0.0,0.47457626,0.004416492,0.004416492,v_velocity,0.05023981258273125
0.0,0.4915254,0.0036352426,0.0036352426,v_velocity,0.05023981258273125
0.0,0.5084746,0.002971787,0.002971787,v_velocity,0.05023981258273125
0.0,0.52542377,0.0024506077,0.0024506077,v_velocity,0.05023981258273125
0.0,0.5423729,0.0020904131,0.0020904131,v_velocity,0.05023981258273125
0.0,0.559322,0.0019058101,0.0019058101,v_velocity,0.05023981258273125
0.0,0.5762712,0.0019078068,0.0019078068,v_velocity,0.05023981258273125
0.0,0.59322035,0.0021042675,0.0021042675,v_velocity,0.05023981258273125
0.0,0.61016953,0.0025010593,0.0025010593,v_velocity,0.05023981258273125
0.0,0.62711865,0.003104277,0.003104277,v_velocity,0.05023981258273125
0.0,0.64406776,0.0039225705,0.0039225705,v_velocity,0.05023981258273125
0.0,0.66101694,0.004966479,0.004966479,v_velocity,0.05023981258273125
0.0,0.6779661,0.0062442794,0.0062442794,v_velocity,0.05023981258273125
0.0,0.6949153,0.007755831,0.007755831,v_velocity,0.05023981258273125
0.0,0.7118644,0.009486437,0.009486437,v_velocity,0.05023981258273125
0.0,0.7288135,0.011402808,0.011402808,v_velocity,0.05023981258273125
0.0,0.7457627,0.0134523995,0.0134523995,v_velocity,0.05023981258273125
0.0,0.7627119,0.015566852,0.015566852,v_velocity,0.05023981258273125
0.0,0.779661,0.017669883,0.017669883,v_velocity,0.05023981258273125
0.0,0.7966102,0.01968728,0.01968728,v_velocity,0.05023981258273125
0.0,0.8135593,0.021555506,0.021555506,v_velocity,0.05023981258273125
0.0,0.8305085,0.02322724,0.02322724,v_velocity,0.05023981258273125
0.0,0.84745765,0.024672884,0.024672884,v_velocity,0.05023981258273125
0.0,0.86440676,0.025878798,0.025878798,v_velocity,0.05023981258273125
0.0,0.88135594,0.026843563,0.026843563,v_velocity,0.05023981258273125
0.0,0.89830506,0.027573124,0.027573124,v_velocity,0.05023981258273125
0.0,0.91525424,0.028076574,0.028076574,v_velocity,0.05023981258273125
0.0,0.9322034,0.028362919,0.028362919,v_velocity,0.05023981258273125
0.0,0.9491525,0.028439488,0.028439488,v_velocity,0.05023981258273125
0.0,0.9661017,0.028312072,0.028312072,v_velocity,0.05023981258273125
0.0,0.9830508,0.027986031,0.027986031,v_velocity,0.05023981258273125
0.0,1.0,0.027468711,0.027468711,v_velocity,0.05023981258273125
0.016806724,0.0,0.02308679,0.02308679,v_velocity,0.05023981258273125
