x,y,z_velocity_magnitude,u_velocity,v_velocity,pressure,velocity_magnitude,viscosity,vorticity,divergence,shear_stress,reynolds_local,learned_viscosity_param,grid_i,grid_j
0.0,0.0,0.08751283,0.0846762,0.022100586,0.33005446,0.08751283,0.01,-2.0542634,-0.77811456,0.021716306,8.751283,0.050239813,0,0
0.0,0.013513514,0.1150628,0.113229536,0.020457808,0.33537275,0.1150628,0.010678916,-2.2293286,-0.8185381,0.025011783,10.774764,0.050239813,0,1
0.0,0.027027028,0.1476453,0.14645314,0.018724587,0.34136176,0.1476453,0.011357833,-2.554966,-0.8554229,0.030247757,12.999425,0.050239813,0,2
0.0,0.040540542,0.18452397,0.18374479,0.016939584,0.3479136,0.18452397,0.012036749,-2.832647,-0.88400865,0.035341423,15.33005,0.050239813,0,3
0.0,0.054054055,0.22492014,0.22440955,0.015146639,0.35490423,0.22492014,0.012715666,-3.0562634,-0.9035759,0.040116116,17.688429,0.050239813,0,4
0.0,0.06756757,0.2680137,0.26767886,0.01339278,0.3621984,0.2680137,0.013394582,-3.2212584,-0.912782,0.044398054,20.009111,0.050239813,0,5
0.0,0.081081085,0.3129521,0.31273234,0.011726044,0.36965492,0.3129521,0.014073499,-3.3248587,-0.90976375,0.048024375,22.23698,0.050239813,0,6
0.0,0.0945946,0.35886762,0.35872287,0.010192256,0.37713274,0.35886762,0.014752414,-3.366413,-0.89248747,0.050854877,24.326027,0.050239813,0,7
0.0,0.10810811,0.40490484,0.40480852,0.008831628,0.38449788,0.40490484,0.0154313315,-3.3477216,-0.8591884,0.05278523,26.239138,0.050239813,0,8
0.0,0.12162162,0.45025283,0.45018739,0.0076757036,0.39162967,0.45025283,0.016110247,-3.2732136,-0.8089432,0.05375933,27.948227,0.050239813,0,9
0.0,0.13513514,0.49418128,0.49413526,0.0067453384,0.39842638,0.49418128,0.016789164,-3.1496806,-0.7420601,0.053775005,29.434536,0.050239813,0,10
