x,y,z,value,field_name,learned_viscosity_param
0.0,0.0,-2.0542634,-2.0542634,vorticity,0.05023981258273125
0.0,0.013513514,-2.2293286,-2.2293286,vorticity,0.05023981258273125
0.0,0.027027028,-2.554966,-2.554966,vorticity,0.05023981258273125
0.0,0.040540542,-2.832647,-2.832647,vorticity,0.05023981258273125
0.0,0.054054055,-3.0562634,-3.0562634,vorticity,0.05023981258273125
0.0,0.06756757,-3.2212584,-3.2212584,vorticity,0.05023981258273125
0.0,0.081081085,-3.3248587,-3.3248587,vorticity,0.05023981258273125
0.0,0.0945946,-3.366413,-3.366413,vorticity,0.05023981258273125
0.0,0.10810811,-3.3477216,-3.3477216,vorticity,0.05023981258273125
0.0,0.12162162,-3.2732136,-3.2732136,vorticity,0.05023981258273125
0.0,0.13513514,-3.1496806,-3.1496806,vorticity,0.05023981258273125
0.0,0.14864865,-2.9855514,-2.9855514,vorticity,0.05023981258273125
0.0,0.16216217,-2.7899232,-2.7899232,vorticity,0.05023981258273125
0.0,0.17567568,-2.571707,-2.571707,vorticity,0.05023981258273125
0.0,0.1891892,-2.3392015,-2.3392015,vorticity,0.05023981258273125
0.0,0.2027027,-2.1002147,-2.1002147,vorticity,0.05023981258273125
0.0,0.21621622,-1.8624687,-1.8624687,vorticity,0.05023981258273125
0.0,0.22972974,-1.6337063,-1.6337063,vorticity,0.05023981258273125
0.0,0.24324325,-1.4214046,-1.4214046,vorticity,0.05023981258273125
0.0,0.25675675,-1.232152,-1.232152,vorticity,0.05023981258273125
0.0,0.2702703,-1.0709472,-1.0709472,vorticity,0.05023981258273125
0.0,0.2837838,-0.9407742,-0.9407742,vorticity,0.05023981258273125
0.0,0.2972973,-0.8424763,-0.8424763,vorticity,0.05023981258273125
0.0,0.3108108,-0.77507174,-0.77507174,vorticity,0.05023981258273125
0.0,0.32432434,-0.73602927,-0.73602927,vorticity,0.05023981258273125
0.0,0.33783785,-0.72162265,-0.72162265,vorticity,0.05023981258273125
0.0,0.35135135,-0.72739625,-0.72739625,vorticity,0.05023981258273125
0.0,0.3648649,-0.74843425,-0.74843425,vorticity,0.05023981258273125
0.0,0.3783784,-0.779747,-0.779747,vorticity,0.05023981258273125
0.0,0.3918919,-0.8165215,-0.8165215,vorticity,0.05023981258273125
0.0,0.4054054,-0.8542351,-0.8542351,vorticity,0.05023981258273125
0.0,0.41891894,-0.88865757,-0.88865757,vorticity,0.05023981258273125
0.0,0.43243244,-0.91574234,-0.91574234,vorticity,0.05023981258273125
0.0,0.44594595,-0.93146294,-0.93146294,vorticity,0.05023981258273125
0.0,0.45945948,-0.9317955,-0.9317955,vorticity,0.05023981258273125
0.0,0.472973,-0.9128551,-0.9128551,vorticity,0.05023981258273125
0.0,0.4864865,-0.871263,-0.871263,vorticity,0.05023981258273125
0.0,0.5,-0.8044266,-0.8044266,vorticity,0.05023981258273125
0.0,0.5135135,-0.71080047,-0.71080047,vorticity,0.05023981258273125
0.0,0.527027,-0.58992,-0.58992,vorticity,0.05023981258273125
0.0,0.5405405,-0.44236532,-0.44236532,vorticity,0.05023981258273125
0.0,0.554054,-0.26975018,-0.26975018,vorticity,0.05023981258273125
0.0,0.5675676,-0.07449436,-0.07449436,vorticity,0.05023981258273125
0.0,0.58108103,0.14035018,0.14035018,vorticity,0.05023981258273125
0.0,0.5945946,0.37147835,0.37147835,vorticity,0.05023981258273125
0.0,0.6081081,0.6158455,0.6158455,vorticity,0.05023981258273125
0.0,0.6216216,0.87098867,0.87098867,vorticity,0.05023981258273125
0.0,0.6351351,1.1350703,1.1350703,vorticity,0.05023981258273125
0.0,0.6486486,1.4065845,1.4065845,vorticity,0.05023981258273125
0.0,0.6621622,1.6836234,1.6836234,vorticity,0.05023981258273125
0.0,0.67567563,1.9633578,1.9633578,vorticity,0.05023981258273125
0.0,0.6891892,2.2415273,2.2415273,vorticity,0.05023981258273125
0.0,0.7027027,2.5121784,2.5121784,vorticity,0.05023981258273125
0.0,0.7162162,2.7676356,2.7676356,vorticity,0.05023981258273125
0.0,0.7297297,2.998663,2.998663,vorticity,0.05023981258273125
0.0,0.7432432,3.195071,3.195071,vorticity,0.05023981258273125
0.0,0.7567568,3.346452,3.346452,vorticity,0.05023981258273125
0.0,0.7702702,3.44341,3.44341,vorticity,0.05023981258273125
0.0,0.7837838,3.4786637,3.4786637,vorticity,0.05023981258273125
0.0,0.7972973,3.4478855,3.4478855,vorticity,0.05023981258273125
0.0,0.8108108,3.3505006,3.3505006,vorticity,0.05023981258273125
0.0,0.8243243,3.1898377,3.1898377,vorticity,0.05023981258273125
0.0,0.8378378,2.9728034,2.9728034,vorticity,0.05023981258273125
0.0,0.8513514,2.7090774,2.7090774,vorticity,0.05023981258273125
0.0,0.8648648,2.4097352,2.4097352,vorticity,0.05023981258273125
0.0,0.8783784,2.0857878,2.0857878,vorticity,0.05023981258273125
0.0,0.8918919,1.746933,1.746933,vorticity,0.05023981258273125
0.0,0.9054054,1.4007618,1.4007618,vorticity,0.05023981258273125
0.0,0.9189189,1.0526823,1.0526823,vorticity,0.05023981258273125
0.0,0.9324324,0.7062955,0.7062955,vorticity,0.05023981258273125
0.0,0.9459459,0.3642009,0.3642009,vorticity,0.05023981258273125
0.0,0.9594595,0.028928332,0.028928332,vorticity,0.05023981258273125
0.0,0.972973,-0.29626003,-0.29626003,vorticity,0.05023981258273125
