x,y,z,value,field_name,learned_viscosity_param
0.0,0.0,-2.0238113,-2.0238113,vorticity,0.05023981258273125
0.0,0.011235955,-2.1722562,-2.1722562,vorticity,0.05023981258273125
0.0,0.02247191,-2.452571,-2.452571,vorticity,0.05023981258273125
0.0,0.033707865,-2.701306,-2.701306,vorticity,0.05023981258273125
0.0,0.04494382,-2.9145865,-2.9145865,vorticity,0.05023981258273125
0.0,0.056179777,-3.089262,-3.089262,vorticity,0.05023981258273125
0.0,0.06741573,-3.2229273,-3.2229273,vorticity,0.05023981258273125
0.0,0.07865169,-3.314056,-3.314056,vorticity,0.05023981258273125
0.0,0.08988764,-3.3621163,-3.3621163,vorticity,0.05023981258273125
0.0,0.101123594,-3.367758,-3.367758,vorticity,0.05023981258273125
0.0,0.11235955,-3.332854,-3.332854,vorticity,0.05023981258273125
0.0,0.123595506,-3.260547,-3.260547,vorticity,0.05023981258273125
0.0,0.13483146,-3.1550674,-3.1550674,vorticity,0.05023981258273125
0.0,0.14606741,-3.0213459,-3.0213459,vorticity,0.05023981258273125
0.0,0.15730338,-2.8646462,-2.8646462,vorticity,0.05023981258273125
0.0,0.16853933,-2.6902003,-2.6902003,vorticity,0.05023981258273125
0.0,0.17977528,-2.5029275,-2.5029275,vorticity,0.05023981258273125
0.0,0.19101124,-2.307437,-2.307437,vorticity,0.05023981258273125
0.0,0.20224719,-2.108215,-2.108215,vorticity,0.05023981258273125
0.0,0.21348315,-1.9096677,-1.9096677,vorticity,0.05023981258273125
0.0,0.2247191,-1.7162393,-1.7162393,vorticity,0.05023981258273125
0.0,0.23595506,-1.5323582,-1.5323582,vorticity,0.05023981258273125
0.0,0.24719101,-1.3621451,-1.3621451,vorticity,0.05023981258273125
0.0,0.25842696,-1.2090988,-1.2090988,vorticity,0.05023981258273125
0.0,0.26966292,-1.0758919,-1.0758919,vorticity,0.05023981258273125
0.0,0.28089887,-0.96419024,-0.96419024,vorticity,0.05023981258273125
0.0,0.29213482,-0.874628,-0.874628,vorticity,0.05023981258273125
0.0,0.3033708,-0.8069105,-0.8069105,vorticity,0.05023981258273125
0.0,0.31460676,-0.7599602,-0.7599602,vorticity,0.05023981258273125
0.0,0.3258427,-0.73199254,-0.73199254,vorticity,0.05023981258273125
0.0,0.33707866,-0.7207973,-0.7207973,vorticity,0.05023981258273125
0.0,0.3483146,-0.7237673,-0.7237673,vorticity,0.05023981258273125
0.0,0.35955057,-0.7380462,-0.7380462,vorticity,0.05023981258273125
0.0,0.37078652,-0.7607854,-0.7607854,vorticity,0.05023981258273125
0.0,0.38202247,-0.7891256,-0.7891256,vorticity,0.05023981258273125
0.0,0.39325842,-0.82034177,-0.82034177,vorticity,0.05023981258273125
0.0,0.40449437,-0.85189086,-0.85189086,vorticity,0.05023981258273125
0.0,0.41573033,-0.88137496,-0.88137496,vorticity,0.05023981258273125
0.0,0.4269663,-0.9064368,-0.9064368,vorticity,0.05023981258273125
0.0,0.43820226,-0.92473716,-0.92473716,vorticity,0.05023981258273125
0.0,0.4494382,-0.9340168,-0.9340168,vorticity,0.05023981258273125
0.0,0.46067417,-0.9319183,-0.9319183,vorticity,0.05023981258273125
0.0,0.47191012,-0.9162425,-0.9162425,vorticity,0.05023981258273125
0.0,0.48314607,-0.8850692,-0.8850692,vorticity,0.05023981258273125
0.0,0.49438202,-0.83675015,-0.83675015,vorticity,0.05023981258273125
0.0,0.505618,-0.7701969,-0.7701969,vorticity,0.05023981258273125
0.0,0.5168539,-0.6848424,-0.6848424,vorticity,0.05023981258273125
0.0,0.5280899,-0.58063495,-0.58063495,vorticity,0.05023981258273125
0.0,0.53932583,-0.45798633,-0.45798633,vorticity,0.05023981258273125
0.0,0.5505618,-0.3178374,-0.3178374,vorticity,0.05023981258273125
0.0,0.56179774,-0.16152547,-0.16152547,vorticity,0.05023981258273125
0.0,0.5730337,0.009298323,0.009298323,vorticity,0.05023981258273125
0.0,0.58426964,0.19273679,0.19273679,vorticity,0.05023981258273125
0.0,0.5955056,0.38690025,0.38690025,vorticity,0.05023981258273125
0.0,0.60674155,0.5900488,0.5900488,vorticity,0.05023981258273125
0.0,0.6179775,0.8007584,0.8007584,vorticity,0.05023981258273125
0.0,0.62921345,1.0179361,1.0179361,vorticity,0.05023981258273125
0.0,0.6404494,1.2407124,1.2407124,vorticity,0.05023981258273125
0.0,0.65168536,1.4681803,1.4681803,vorticity,0.05023981258273125
0.0,0.6629213,1.699154,1.699154,vorticity,0.05023981258273125
0.0,0.67415726,1.9319532,1.9319532,vorticity,0.05023981258273125
0.0,0.6853932,2.1641455,2.1641455,vorticity,0.05023981258273125
0.0,0.69662917,2.392509,2.392509,vorticity,0.05023981258273125
0.0,0.7078652,2.6129901,2.6129901,vorticity,0.05023981258273125
0.0,0.71910113,2.8207,2.8207,vorticity,0.05023981258273125
0.0,0.7303371,3.010107,3.010107,vorticity,0.05023981258273125
0.0,0.74157304,3.175252,3.175252,vorticity,0.05023981258273125
0.0,0.752809,3.310121,3.310121,vorticity,0.05023981258273125
0.0,0.76404494,3.4090483,3.4090483,vorticity,0.05023981258273125
0.0,0.7752809,3.4672694,3.4672694,vorticity,0.05023981258273125
0.0,0.78651685,3.4812562,3.4812562,vorticity,0.05023981258273125
0.0,0.7977528,3.4490955,3.4490955,vorticity,0.05023981258273125
0.0,0.80898875,3.3707325,3.3707325,vorticity,0.05023981258273125
0.0,0.8202247,3.2479422,3.2479422,vorticity,0.05023981258273125
0.0,0.83146065,3.0843277,3.0843277,vorticity,0.05023981258273125
0.0,0.8426966,2.8849933,2.8849933,vorticity,0.05023981258273125
0.0,0.8539326,2.6560078,2.6560078,vorticity,0.05023981258273125
0.0,0.8651686,2.4039023,2.4039023,vorticity,0.05023981258273125
0.0,0.8764045,2.1350536,2.1350536,vorticity,0.05023981258273125
0.0,0.8876405,1.8550937,1.8550937,vorticity,0.05023981258273125
0.0,0.8988764,1.5687172,1.5687172,vorticity,0.05023981258273125
0.0,0.9101124,1.2795186,1.2795186,vorticity,0.05023981258273125
0.0,0.92134833,0.9900693,0.9900693,vorticity,0.05023981258273125
0.0,0.9325843,0.70220023,0.70220023,vorticity,0.05023981258273125
0.0,0.94382024,0.41730893,0.41730893,vorticity,0.05023981258273125
0.0,0.9550562,0.13680132,0.13680132,vorticity,0.05023981258273125
0.0,0.96629214,-0.13761796,-0.13761796,vorticity,0.05023981258273125
0.0,0.9775281,-0.40367845,-0.40367845,vorticity,0.05023981258273125
0.0,0.98876405,-0.6584325,-0.6584325,vorticity,0.05023981258273125
0.0,1.0,-0.783563,-0.783563,vorticity,0.05023981258273125
0.016759777,0.0,-1.9798704,-1.9798704,vorticity,0.05023981258273125
0.016759777,0.011235955,-2.1309133,-2.1309133,vorticity,0.05023981258273125
0.016759777,0.02247191,-2.416508,-2.416508,vorticity,0.05023981258273125
0.016759777,0.033707865,-2.6703992,-2.6703992,vorticity,0.05023981258273125
0.016759777,0.04494382,-2.8891792,-2.8891792,vorticity,0.05023981258273125
0.016759777,0.056179777,-3.0702338,-3.0702338,vorticity,0.05023981258273125
0.016759777,0.06741573,-3.211695,-3.211695,vorticity,0.05023981258273125
0.016759777,0.07865169,-3.3124402,-3.3124402,vorticity,0.05023981258273125
0.016759777,0.08988764,-3.3721302,-3.3721302,vorticity,0.05023981258273125
0.016759777,0.101123594,-3.391275,-3.391275,vorticity,0.05023981258273125
0.016759777,0.11235955,-3.3712924,-3.3712924,vorticity,0.05023981258273125
0.016759777,0.123595506,-3.3145769,-3.3145769,vorticity,0.05023981258273125
0.016759777,0.13483146,-3.2244198,-3.2244198,vorticity,0.05023981258273125
0.016759777,0.14606741,-3.1048303,-3.1048303,vorticity,0.05023981258273125
0.016759777,0.15730338,-2.960282,-2.960282,vorticity,0.05023981258273125
0.016759777,0.16853933,-2.7954528,-2.7954528,vorticity,0.05023981258273125
0.016759777,0.17977528,-2.6150236,-2.6150236,vorticity,0.05023981258273125
0.016759777,0.19101124,-2.423639,-2.423639,vorticity,0.05023981258273125
0.016759777,0.20224719,-2.2259767,-2.2259767,vorticity,0.05023981258273125
0.016759777,0.21348315,-2.0267723,-2.0267723,vorticity,0.05023981258273125
0.016759777,0.2247191,-1.8308696,-1.8308696,vorticity,0.05023981258273125
0.016759777,0.23595506,-1.6430725,-1.6430725,vorticity,0.05023981258273125
0.016759777,0.24719101,-1.4679308,-1.4679308,vorticity,0.05023981258273125
0.016759777,0.25842696,-1.3093725,-1.3093725,vorticity,0.05023981258273125
0.016759777,0.26966292,-1.1704288,-1.1704288,vorticity,0.05023981258273125
0.016759777,0.28089887,-1.053122,-1.053122,vorticity,0.05023981258273125
0.016759777,0.29213482,-0.9583124,-0.9583124,vorticity,0.05023981258273125
0.016759777,0.3033708,-0.88582385,-0.88582385,vorticity,0.05023981258273125
0.016759777,0.31460676,-0.83457905,-0.83457905,vorticity,0.05023981258273125
0.016759777,0.3258427,-0.8026626,-0.8026626,vorticity,0.05023981258273125
0.016759777,0.33707866,-0.7876413,-0.7876413,vorticity,0.05023981258273125
0.016759777,0.3483146,-0.7866737,-0.7866737,vorticity,0.05023981258273125
